# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = combinar distintas optimizaciones y flags.
# CPU = desktop
Flags,Gflops_Vel,Gflops_Force,Gflops_Verlet,Gflops_total
gcc, -O1 -march=native -ffast-math -funroll-loops,0.586471,2.521565,0.020935,0.026794
gcc, -O1 -march=native -ffast-math -funroll-loops,0.536706,2.344851,0.020929,0.026789
gcc, -O1 -march=native -ffast-math -funroll-loops,0.586776,2.499023,0.020937,0.0268
gcc, -O1 -march=native -ffast-math -floop-block,0.638991,2.576999,0.020184,0.025811
gcc, -O1 -march=native -ffast-math -floop-block,0.640123,2.587915,0.020298,0.025998
gcc, -O1 -march=native -ffast-math -floop-block,0.598207,2.408006,0.020049,0.025687
gcc, -O1 -march=native -ffast-math -floop-block,0.573403,2.32916,0.020081,0.025725
gcc, -O1 -march=native -ffast-math -floop-block,0.572644,2.335952,0.020122,0.025776
gcc, -O1 -march=native -ffast-math -floop-block,0.598703,2.40038,0.020128,0.025783
gcc, -O1 -march=native -ffast-math -floop-block,0.594166,2.249194,0.020046,0.025678
gcc, -O1 -march=native -ffast-math -floop-block,0.602627,2.432464,0.020226,0.025907
gcc, -O1 -march=native -ffast-math -floop-block,0.568953,2.306607,0.020107,0.025747
gcc, -O1 -march=native -ffast-math -floop-block,0.567633,2.273873,0.02026,0.025948
gcc, -O1 -march=native -funroll-loops -floop-block,0.609387,2.180067,0.017244,0.022167
gcc, -O1 -march=native -funroll-loops -floop-block,0.627376,2.219213,0.017209,0.022123
gcc, -O1 -march=native -funroll-loops -floop-block,0.552949,2.002725,0.017179,0.022086
gcc, -O1 -march=native -funroll-loops -floop-block,0.520383,1.903504,0.017188,0.022096
gcc, -O1 -march=native -funroll-loops -floop-block,0.577311,2.084667,0.017218,0.022136
gcc, -O1 -march=native -funroll-loops -floop-block,0.568279,2.070355,0.017217,0.022132
gcc, -O1 -march=native -funroll-loops -floop-block,0.554797,1.982247,0.017187,0.022095
gcc, -O1 -march=native -funroll-loops -floop-block,0.5436,1.9874,0.017219,0.022137
gcc, -O1 -march=native -funroll-loops -floop-block,0.555643,2.002782,0.017177,0.022083
gcc, -O1 -march=native -funroll-loops -floop-block,0.57054,1.982316,0.017161,0.022062
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.613289,2.598701,0.020862,0.026702
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.623244,2.623672,0.020814,0.026642
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.58858,2.531635,0.020897,0.026749
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.477032,2.302708,0.020796,0.026622
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.591403,2.526395,0.020896,0.026745
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.56991,2.466903,0.021096,0.026997
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.589697,2.535059,0.020906,0.026759
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.621629,2.673743,0.020945,0.026806
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.560444,2.696238,0.025267,0.032337
gcc, -O1 -march=native -ffast-math -funroll-loops -floop-block,0.642576,2.688389,0.025275,0.032339
gcc, -O2,0.745569,3.230449,0.027042,0.034479
gcc, -O2,0.770647,3.414385,0.027269,0.034767
gcc, -O2,0.651457,3.028951,0.027236,0.034724
gcc, -O2,0.664463,3.050351,0.027182,0.034665
gcc, -O2,0.693298,2.779205,0.024464,0.031284
gcc, -O2,0.705893,3.412615,0.027398,0.034928
gcc, -O2,0.647453,3.049444,0.027466,0.035004
gcc, -O2,0.693457,3.009669,0.027304,0.034815
gcc, -O2,0.653636,3.029102,0.026555,0.033859
gcc, -O2,0.725824,3.298057,0.026091,0.033258
gcc, -O2 -march=native,0.712871,3.365875,0.026997,0.034337
gcc, -O2 -march=native,0.721071,3.390117,0.027154,0.034538
gcc, -O2 -march=native,0.693417,3.225321,0.027063,0.034418
